Insertion_Index Worst_Case_Time(us) Best_Case_Time(us)
882 1.395 0.066
883 1.385 0.061
884 1.494 0.063
885 1.514 0.061
886 1.489 0.061
887 1.404 0.063
888 1.4 0.061
889 1.584 0.061
890 1.532 0.061
891 1.556 0.056
892 1.5 0.063
893 1.561 0.061
894 1.536 0.059
895 2.584 0.062
896 1.523 0.061
897 2.616 0.068
898 1.551 0.063
899 2.684 0.074
900 1.588 0.061
901 1.588 0.065
902 1.525 0.062
903 2.486 0.075
904 1.531 0.06
905 1.542 0.063
906 1.431 0.063
907 1.535 0.063
908 1.561 0.061
909 1.577 0.061
910 1.613 0.061
911 1.586 0.061
912 1.561 0.064
913 1.563 0.061
914 2.75 0.066
915 2.878 0.078
916 3.116 0.063
917 2.928 0.085
918 3.088 0.063
919 3.288 0.07
920 3.28 0.073
921 3.045 0.064
922 1.985 0.063
923 3.083 0.076
924 3.019 0.065
925 3.021 0.071
926 1.896 0.063
927 2.055 0.06
928 3.379 0.059
929 2.51 0.071
930 2.549 0.078
931 2.886 0.071
932 1.993 0.059
933 1.665 0.064
934 1.572 0.063
935 1.59 0.063
936 1.602 0.059
937 1.571 0.063
938 1.603 0.061
939 1.598 0.065
940 1.621 0.062
941 1.563 0.063
942 1.614 0.061
943 2.875 0.066
944 1.602 0.061
945 1.664 0.069
946 1.592 0.062
947 1.595 0.061
948 1.625 0.06
949 2.83 0.078
950 1.604 0.063
951 1.613 0.062
952 1.616 0.06
953 1.594 0.063
954 1.646 0.064
955 1.617 0.064
956 1.633 0.064
957 1.613 0.062
958 1.599 0.06
959 19.03 0.062
960 1.626 0.058
961 1.616 0.063
962 1.633 0.071
963 1.616 0.061
964 1.521 0.061
965 1.516 0.065
966 1.639 0.062
967 1.621 0.06
968 1.618 0.063
969 1.639 0.062
970 1.652 0.064
971 2.866 0.072
972 1.645 0.063
973 2.823 0.075
974 1.536 0.063
975 1.535 0.06
976 1.666 0.061
977 1.56 0.063
978 1.528 0.06
979 1.54 0.066
980 2.76 0.065
981 1.54 0.062
982 1.549 0.062
983 1.544 0.062
984 2.807 0.072
985 1.552 0.064
986 2.841 0.063
987 1.55 0.063
988 1.551 0.066
989 1.555 0.062
990 1.556 0.07
991 1.56 0.063
992 1.556 0.063
993 1.572 0.064
994 1.559 0.066
995 1.566 0.065
996 1.564 0.064
997 1.574 0.064
998 2.853 0.078
999 1.571 0.064
1000 1.575 0.063
1001 1.577 0.062
1002 1.573 0.062
1003 1.712 0.061
1004 1.576 0.063
1005 1.583 0.06
1006 1.58 0.066
1007 2.937 0.075
1008 1.59 0.063
1009 2.894 0.064
1010 1.585 0.063
1011 1.59 0.065
1012 1.592 0.063
1013 1.591 0.064
1014 1.589 0.062
1015 1.597 0.064
1016 1.594 0.065
1017 1.591 0.065
1018 1.948 0.063
1019 2.047 0.058
1020 1.787 0.061
1021 1.606 0.063
1022 3.009 0.171
1023 1.625 0.062
1024 2.853 0.074
1025 1.606 0.062
1026 2.989 0.073
1027 1.79 0.059
1028 1.705 0.064
1029 1.743 0.063
1030 1.613 0.063
1031 1.743 0.062
1032 1.754 0.06
1033 2.962 0.073
1034 1.632 0.062
1035 2.962 0.081
1036 1.623 0.062
1037 3.136 0.081
1038 1.769 0.066
1039 3.139 0.066
1040 2.015 0.063
1041 3.214 0.066
1042 3.348 0.062
1043 3.148 0.066
1044 2.186 0.061
1045 2.974 0.062
1046 2.339 0.06
1047 3.588 0.062
1048 2.17 0.058
1049 3.04 0.078
1050 2.019 0.059
1051 1.653 0.065
1052 1.648 0.061
1053 3.856 0.09
1054 15.011 0.061
1055 2.276 0.073
1056 3.366 0.086
1057 1.892 0.061
1058 1.662 0.062
1059 1.657 0.063
1060 1.771 0.064
1061 1.775 0.065
1062 3.148 0.076
1063 1.784 0.065
1064 3.08 0.075
1065 1.769 0.076
1066 1.757 0.06
1067 3.072 0.075
1068 1.766 0.063
1069 3.154 0.073
1070 1.773 0.062
1071 1.777 0.067
1072 1.766 0.062
1073 1.772 0.064
1074 1.786 0.06
1075 1.781 0.06
1076 1.674 0.061
1077 1.78 0.055
1078 3.406 0.062
1079 1.784 0.062
1080 1.799 0.064
1081 1.686 0.061
1082 1.844 0.06
1083 1.779 0.061
1084 1.798 0.062
1085 3.156 0.079
1086 1.79 0.063
1087 1.835 0.061
1088 1.71 0.065
1089 1.805 0.061
1090 1.805 0.061
1091 1.834 0.064
1092 1.707 0.064
1093 1.829 0.062
1094 1.706 0.062
1095 1.833 0.063
1096 3.251 0.077
1097 3.091 0.078
1098 1.707 0.064
1099 1.72 0.07
1100 3.068 0.077
1101 1.727 0.062
1102 1.735 0.062
1103 1.717 0.06
1104 3.035 0.073
1105 1.727 0.085
1106 1.717 0.059
1107 1.73 0.062
1108 1.769 0.066
1109 1.733 0.062
1110 3.226 0.075
1111 1.734 0.062
1112 1.74 0.068
1113 3.152 0.075
1114 1.734 0.063
1115 3.159 0.075
1116 1.74 0.063
1117 3.11 0.08
1118 1.748 0.063
1119 1.75 0.061
1120 1.748 0.063
1121 1.748 0.061
1122 1.754 0.064
1123 1.752 0.062
1124 3.174 0.077
1125 1.76 0.063
1126 3.13 0.083
1127 1.764 0.062
1128 3.23 0.075
1129 1.761 0.071
1130 1.766 0.063
1131 1.767 0.062
1132 3.219 0.067
1133 1.76 0.063
1134 3.162 0.078
1135 1.773 0.064
