Function_Index Worst_Case_Time(us) Best_Case_Time(us)
1140 2236.96 7.009
1141 2206.51 7.063
1142 2170.14 7.236
1143 2210.35 7.15
1144 2364.44 7.217
1145 2177.81 7.12
1146 2252.16 7.363
1147 2181.78 7.101
1148 2185.69 7.116
1149 2221.76 7.059
1150 2261.29 7.106
1151 2188.55 7.178
1152 2200.8 7.279
1153 2213.24 7.21
1154 2269.3 7.172
1155 2347 10.545
1156 2222.16 7.236
1157 2224.6 7.144
1158 2226.1 7.176
1159 2245.99 7.181
1160 2228.63 7.127
1161 2967.01 14.894
1162 2341.99 7.205
1163 2280.59 7.141
1164 2236.94 7.229
1165 2270.41 7.303
1166 2279.82 7.312
1167 2574.42 7.214
1168 2293.85 7.329
1169 2260.62 7.24
1170 2266.19 7.25
1171 2275.72 7.304
1172 2275.38 7.261
1173 2472.11 7.204
1174 2282.47 7.246
1175 2295.58 7.268
1176 2508.4 7.373
1177 2358.22 7.276
1178 2487.56 7.623
1179 2369.28 7.329
1180 2307.13 7.487
1181 2303.29 7.31
1182 2339.58 7.245
1183 2377.93 7.291
1184 2468.71 7.287
1185 2335.51 7.351
1186 2371.76 7.345
1187 2350.64 7.278
1188 2353.34 7.273
1189 2351.72 7.412
1190 2599.48 7.552
1191 2411.07 7.292
1192 2391.1 7.401
1193 2394.58 7.376
1194 2361.72 7.429
1195 2499.57 14.351
1196 2386.98 7.418
1197 2437.51 7.502
1198 2378.06 7.419
1199 2374.61 7.372
1200 2394.95 7.472
1201 2673.38 7.484
1202 2437.04 7.427
1203 2446.63 16.12
1204 2509.37 7.42
1205 3175.6 8.527
1206 2666.58 7.842
1207 2458.97 7.538
1208 2410.65 7.484
1209 2478.59 7.483
1210 2426.83 7.411
1211 2430.19 7.657
1212 2592.83 7.55
1213 2495.17 7.489
1214 2450.79 7.691
1215 2436.5 7.441
1216 2448.41 7.508
1217 3142.62 19.151
1218 2592.78 7.51
1219 2455.26 7.533
1220 2478.32 7.484
1221 2469.88 7.469
1222 2693.71 14.014
1223 2495.19 7.584
1224 2517.51 7.651
1225 2503.21 7.573
1226 2487.54 7.576
1227 2537.29 7.58
1228 2550.23 7.956
1229 2501.69 7.502
1230 2505.14 7.509
1231 2585.81 7.629
1232 2503.82 7.64
1233 2726.14 7.686
1234 2524.55 7.572
1235 2540.69 7.578
1236 2538.86 7.78
1237 2610.92 7.64
1238 3509.4 33.939
1239 3620.69 10.991
1240 2623.65 7.76
1241 2545.44 7.637
1242 2557.76 7.693
1243 3717.99 12.177
1244 2736.26 7.658
1245 2616.02 7.728
1246 3060.78 11.12
1247 2612.55 7.759
1248 2918.43 14.628
1249 2646.28 7.712
1250 2586.83 7.934
1251 2587.74 7.659
1252 3466.53 19.34
1253 2816.73 7.787
1254 2608.51 7.664
1255 2695.87 14.18
1256 2610.46 7.68
1257 2747.86 7.912
1258 2722.91 7.79
1259 2611.33 7.819
1260 2626.22 7.79
1261 2620.98 7.727
1262 2943.6 7.877
1263 2632.16 7.824
1264 2639.92 7.806
1265 2681.48 7.793
1266 2664.23 7.753
1267 4034.8 20.498
1268 3803.74 19.677
1269 3846.86 19.189
1270 4317.59 22.173
1271 4968.1 22.085
1272 3879.73 19.281
1273 3847.45 19.092
1274 4349.45 8.536
1275 2805.65 7.989
1276 2709.28 7.813
1277 2741.89 7.931
1278 3009.81 14.465
1279 2695.67 7.941
1280 2724.12 7.953
1281 2743.98 7.84
1282 2730.34 7.86
1283 2959.22 8.011
1284 2749.61 7.995
1285 2725.32 8.094
1286 2747.39 7.836
1287 2733.16 7.922
1288 3140.48 14.521
1289 2869.26 7.923
1290 2779.23 7.83
1291 2755 7.844
1292 2781.39 8.146
1293 3070.39 8.213
1294 2762.91 7.928
1295 2814.99 8.167
1296 2789.2 8.157
1297 2826.39 7.872
1298 3029.58 7.948
1299 2790.43 7.984
